id,name,team,position,leagues_taken,num_leagues_taken,available,taken_BL
59,Marcus Stroman,Tor,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
595,Byron Buxton,Min,OF,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
244,Ryan Pressly,Hou,SR,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
46,Jaime Barria,LAA,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600']",7,False,True
475,Tim Anderson,ChA,SS,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
10,Reynaldo Lopez,ChA,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
21,Matthew Boyd,Det,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
234,Yusmeiro Petit,Oak,SR,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wBL600', 'wBL601']",7,False,True
25,Wade LeBlanc,Sea,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600']",7,False,True
26,Ivan Nova,ChA,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
77,Ryne Stanek,TB,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wBL600', 'wBL601']",7,False,True
38,Alex Cobb,Bal,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600']",7,False,True
440,Dustin Pedroia,Bos,2B,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
11,Mike Leake,Sea,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
665,Adam Ottavino,NYA,SR,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
566,Leonys Martin,Cle,OF,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600']",7,False,True
344,Isiah Kiner-Falefa,Tex,C,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
35,Matt Harvey,LAA,P,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600']",7,False,True
250,Brad Peacock,Hou,SR,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL604', 'wAL605', 'wBL600', 'wBL601']",8,False,True
582,Cedric Mullins,Bal,OF,"['wAL600', 'wAL601', 'wAL602', 'wAL603', 'wAL605', 'wBL600', 'wBL601']",7,False,True
